class                         precision     recall   f1-score    support
ANIMAL                           0.6667     1.0000     0.8000          2
ARGUE                            0.5000     1.0000     0.6667          2
BABY                             0.2500     0.5000     0.3333          2
BACK                             0.0000     0.0000     0.0000          2
BAKE                             1.0000     1.0000     1.0000          2
BATH                             0.3333     0.5000     0.4000          2
BEHIND                           0.3333     0.5000     0.4000          2
BRING                            0.0000     0.0000     0.0000          2
CATCH                            0.6667     1.0000     0.8000          2
CEREAL                           0.0000     0.0000     0.0000          2
CHAMPION                         0.4000     1.0000     0.5714          2
CHEESE                           1.0000     0.5000     0.6667          2
COUGH                            0.6667     1.0000     0.8000          2
CRAZY                            0.0000     0.0000     0.0000          2
DELAY                            0.5000     0.5000     0.5000          2
DELICIOUS                        0.3333     0.5000     0.4000          2
DISAPPEAR                        0.3333     0.5000     0.4000          2
DIVORCE                          1.0000     0.5000     0.6667          2
DRAW                             1.0000     0.5000     0.6667          2
EAST                             1.0000     0.5000     0.6667          2
EASY                             1.0000     1.0000     1.0000          2
EGG                              0.5000     0.5000     0.5000          2
ENVIRONMENT                      1.0000     0.5000     0.6667          2
FATHER                           0.6667     1.0000     0.8000          2
FAULT                            1.0000     1.0000     1.0000          2
FLOWER                           1.0000     1.0000     1.0000          2
FRIENDLY                         0.5000     1.0000     0.6667          2
GLASSES                          1.0000     1.0000     1.0000          2
HALLOWEEN                        1.0000     0.5000     0.6667          2
HARD                             0.0000     0.0000     0.0000          2
HEART                            0.5000     0.5000     0.5000          2
HOUR                             1.0000     0.5000     0.6667          2
HUMBLE                           0.6667     1.0000     0.8000          2
HURRY                            1.0000     1.0000     1.0000          2
IMPROVE                          0.5000     0.5000     0.5000          2
INTERNET                         1.0000     1.0000     1.0000          2
JUMP                             0.5000     0.5000     0.5000          2
KILL                             0.0000     0.0000     0.0000          2
LAW                              0.5000     1.0000     0.6667          2
MATCH                            1.0000     0.5000     0.6667          2
MEAT                             0.6667     1.0000     0.8000          2
MILK                             0.5000     0.5000     0.5000          2
MONEY                            0.5000     0.5000     0.5000          2

accuracy                                               0.6003        668
macro avg                        0.6235     0.6053     0.5828        668
weighted avg                     0.6278     0.6003     0.5823        668
